0d1n 1:263.2d723ae-1
sigma 0.20-1
sign 10.2dc4018-2
sigploit 786.0e52072-1
sigspotter 1.0-5
sigthief 25.ffb501b-1
silenteye 21.a53a7ff-1
silenttrinity 292.cd9416d-2
silk 3.19.2-1
simple-ducky 20.f15079e-1
simple-lan-scan 1.0-6
simpleemailspoofer 54.7075f0c-1
simplify 1.3.0-1
simplyemail 1:1.4.10.r7.6a42d37-2
simtrace2 1071.773d314-1
sinfp 1.24-6
sip 6.7.7-1
siparmyknife 11232011-13
sipbrute 11.5be2fdd-3
sipcalc 1.1.6-4
sipcrack 0.2-6
sipffer 1:29.efc3ff1-1
sipi 13.58f0dcc-2
sipp 1331.f44d0cf-1
sippts 492.72c87f3-1
sipsak 1:0.9.8.1-1
sipscan 1:0.1-7
sipshock 7.6ab5591-7
sipvicious 462.fd3e7c7-1
sireprat 34.b8ef60b-3
sitadel 121.0a0e475-3
sitediff 3.1383935-10
sjet 103.dd2a4e6-1
skipfish 2.10b-10
skiptracer 1:123.ca40957-2
skul 27.7bd83f1-3
skydive 0.28.0-1
skyjack 16.24e3878-2
skype-dump 0.1-8
skypefreak 33.9347a65-2
slackpirate 142.9788be6-3
slang 2.3.3-2
sleuthkit 4.11.1-1
sleuthkit-java 4.11.1-1
sleuthql 9.29fc878-3
slirp4netns 1.2.0-1
slither 1:3364.776dcab44-1
sloth-fuzzer 39.9f7f59a-1
slowhttptest 1.9.0-1
slowloris 0.7-8
slowloris-py 30.eb7f632-1
slurp-scanner 90.6a4eaaf-2
smali 2.5.2-1
smali-cfgs 6.4450418-2
smalisca 58.1aa7a16-6
smap 24.3ed1ac7-1
smartmontools 7.3-1
smbbf 0.9.1-2
smbclient 4.18.1-1
smbcrunch 12.313400e-3
smbexec 2:59.a54fc14-8
smbmap 147.a771476-1
smbrelay 3-6
smbspider 10.7db9323-3
smbsr 49.a44ced7-2
smikims-arpspoof 25.244d9ee-2
smod 53.7eb8423-4
smplshllctrlr 9.2baf390-1
smtp-fuzz 1.0-3
smtp-test 5.d8d8598-2
smtp-user-enum 1.2-6
smtp-vrfy 1.0-5
smtpmap 0.8.234_BETA-4
smtpscan 0.5-9
smtptester 13.634e1ee-4
smtptx 1.0-4
smuggler 23.2be871e-2
smuggler-py 1.0-3
sn1per 1:563.9deac2b-1
snallygaster 215.3179b7a-1
snapception 8.c156f9e-8
snappy 1.1.9-2
snare 183.0919a80-2
snarf-mitm 41.bada142-2
sndio 1.9.0-1
sniff-probe-req 379.8a02dbd-1
sniffer 4.688854e-1
sniffglue 0.15.0-1
sniffjoke 772.434bfb1-1
sniffles 469.118e93f-4
snitch 1.2-1
snmp-brute 19.830bb0a-2
snmp-fuzzer 0.1.1-8
snmpattack 1.8-6
snmpcheck 1.9-6
snmpenum 1.7-6
snmpscan 0.1-6
snoopbrute 17.589fbe6-4
snoopy-ng 128.eac73f5-4
snort 2.9.20-2
snow 20130616-2
snowman 0.1.3-1
snscan 1.05-6
snscrape 0.4.3.20220106-1
snuck 6.76196b6-2
snyk 1.878.0-1
soapui 5.7.0-1
soapysdr 0.8.1-3
socat 1.7.4.4-1
social-analyzer 0.42-1
social-mapper 190.92be8da-2
social-vuln-scanner 11.91794c6-7
socialfish 242.3167ab8-1
socialpwned v2.0.0.r2.gc7845c3-1
socialscan 123.9f68539-1
socketfuzz 26.089add2-1
sockstat 0.4.1-1
solid 5.104.0-1
sonnet 5.104.0-1
soot 3.4.0-1
sooty 326.e1e86e5-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-10
sox 14.4.2+r182+g42b3557e-3
spade 114-6
spaf 11.671a976-3
spandsp 0.0.6-4
sparta 21.b0a4514-1
spartan 23.babdd7d-1
sparty 0.1-3
spdlog 1.11.0-2
spectools 2010_04_R1-2
spectrwm 3.4.1-4
speedpwn 8.3dd2793-1
speex 1.2.1-1
speexdsp 1.2.1-1
spf 85.344ac2f-4
spfmap 8.a42d15a-3
spiderfoot 4.0-1
spiga 2:623.8bc1ddc-1
spike-fuzzer 2.9-1
spike-proxy 148-9
spiped 1.6.2-3
spipscan 1:69.4ad3235-4
spirv-llvm-translator 15.0.0.r10+g78ad93b9-1
spirv-tools 2022.4-1
splint 3.1.2.git20180129-3
sploitctl 1:3.0.3-3
sploitego 153.d9568dc-4
spoofcheck 16.8cce591-3
spooftooph 0.5.2-4
spookflare 24.19491b5-3
spotbugs 16957.73d952249-1
spray365 42.58fd193-2
spraycharles 198.041a598-3
sprayingtoolkit 60.82e2ec8-1
spraykatz 62.1fb3aa7-3
sps 4.3-2
spyse 47.cd11ba9-4
sqid 0.3-10
sqlbrute 1.0-6
sqlcipher 4.5.2-2
sqldict 2.1-3
sqlite 3.41.2-1
sqlivulscan 249.cc8e657-3
sqlmap 1.7-1
sqlninja 0.2.999-8
sqlpat 1.0.1-3
sqlping 4-5
sqlpowerinjector 1.2-2
sqlsus 0.7.2-9
squashfs-tools 4.6.1-1
srt 1.5.1-3
ssdeep 2.14.1-3
ssdp-scanner 1.0-7
ssh-audit 2.5.0-2
ssh-honeypot 109.6307259-2
ssh-mitm 140.70998ba-2
ssh-privkey-crack 0.4-2
ssh-user-enum 7.ae453c1-4
sshatter 1.2-6
sshfs 3.7.3-1
sshfuzz 1.0-2
sshpass 1.10-1
sshprank 1.4.2-1
sshscan 1:1.0-2
sshtrix 0.0.3-1
sshtunnel 0.4.0-4
sshuttle 1.1.1-1
ssl-hostname-resolver 1-7
ssl-phuck3r 2.0-2
sslcat 1.0-1
sslcaudit 524.f218b9b-3
ssldump 0.9b3-13
sslh 1.22.c-2
ssllabs-scan 250.7a9f44e-1
sslmap 0.2.0-3
sslnuke 5.c5faeaa-2
sslscan 2.0.15-2
sslscan2 649.bc46606-1
sslsniff 0.8-5
sslsplit 0.5.5-2
sslstrip 0.9-11
sslyze 5.0.6-2
ssma 215.2a2b6bd-3
ssrf-proxy 293.e79da7a-16
ssrf-sheriff 2.f95d691-2
ssrfmap 99.25a0a1e-1
stackflow 2.2af525d-3
stacoan 0.90-1
stacs 0.4.15.r0.gd6f71cf-2
staekka 9.57787ca-6
stardox 41.95b0a97-4
starttls-mitm 7.b257756-3
startup-notification 0.12-7
statsprocessor 5:0.11-2
stegcracker 2.1.0-1
stegdetect 19.ac1df7a-1
steghide 0.5.1-10
stegolego 8.85354f6-3
stegosip 11.5cda6d6-1
stegoveritas 1.9-2
stegseek 104.ff677b9-1
stegsolve 1.3-1
stenographer 486.355604b-2
stepic 0.4-2
stews 1.0.0.r7.gc7bba5a-1
sticky-keys-hunter 15.c816fc9-1
stig-viewer 2.8-1
stoken 0.92-4
stomper 61.842ed23-3
stompy 0.0.4-3
stoq 769.8bfc78b-1
storm-ring 0.1-5
stowaway v2.1.r1.g366d6a5-1
strace 6.2-1
streamfinder 1.2-1
striker 85.87c184d-3
stringsifter 29.3cb284a-2
striptls 55.5ec712c-1
strutscan 4.8712c12-5
stunnel 5.69-1
sub7 2.2-4
subbrute 1.2.1-3
subdomainer 1.2-4
subfinder 1257.bf74523-1
subjack 182.49c51e5-3
subjs 45.76ce9ec-1
sublert 67.56d2a12-2
sublist3r 138.729d649-3
subover 71.3d258e2-4
subscraper 2:12.b736b01-1
subterfuge 2:64.69dda99-1
subversion 1.14.2-6
sucrack 1.2.3-7
sudo 1.9.13.p3-1
suid3num 60.2241c9c-1
sulley 4:1.0.bff0dd1-1
superscan 4.1-3
suricata 6.0.10-1
suricata-verify 924.3023b379-1
svn-extractor 43.1de6adb-1
svt-av1 1.4.1-1
swaks 20201014.0-1
swamp 59.3c8be65-1
swap-digger 51.4d18ce0-1
swarm 1:41.1713c1e-4
swfintruder 0.9.1-2
swftools 0.9.2-7
swig 4.1.1-1
syborg 36.5cd010b-2
syft 0.75.0-1
sylkie 1:0.0.4.r3.g1cf170f-2
syms2elf 12.329c2ce-1
syndication 5.104.0-1
synflood 0.1-4
synner 1.1-3
synscan 5.02-6
syntax-highlighting 5.104.0-1
syringe 12.79a703e-1
sysdig 0.31.4-2
sysfsutils 2.1.1-1
sysinternals-suite 1:5.9-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 253.2-1
systemd-libs 253.2-1
systemd-resolvconf 253.2-1
systemd-sysvcompat 253.2-1
t1lib 5.1.2-8
t50 5.8.7-3
tabi 13.068a406-2
tachyon-scanner 461.6a0900e-4
tactical-exploitation 90.0df0bd2-1
taipan 1:2.9.498.18-1
takeover 98.a058647-2
talloc 2.4.0-2
talon v3.1.r0.gbee8aa4-1
taof 0.3.2-8
tar 1.34-2
tbear 1.5-4
tcgetkey 0.1-4
tchunt-ng 208.b8cf7fc-2
tcl 8.6.13-1
tcpcontrol-fuzzer 2:0.1-6
tcpcopy 1244.9a5406a-1
tcpdstat 4.be5bd28-1
tcpdump 4.99.3-1
tcpextract 1.1-7
tcpflow 1.6.1-2
tcpick 0.2.1-2
tcpjunk 2.9.03-5
tcpreplay 4.4.2-1
tcptrace 6.6.7-7
tcptraceroute 1.5beta7-4
tcpwatch 1.3.1-4
tcpxtract 1.0.1-5
tdb 1.4.8-1
teamsuserenum v1.0.r1.g0c8b6c2-1
teardown 1.0-2
tekdefense-automater 88.42548cf-3
tell-me-your-secrets 1:v2.4.1.r0.g8d59fe3-1
tempomail 25.3ca0fcf-2
tensorboard 2.11.0-3
tensorflow 2.12.0-1
termcap 1.3.1-1
termineter 203.9311d6d-1
terminus-font 4.49.1-5
terminus-font-ttf 4.49.1-1
tesseract 5.3.0-4
tesseract-data-afr 2:4.1.0-3
tesseract-data-osd 2:4.1.0-3
testdisk 7.1-5
testssl.sh 3.0.8-2
tevent 1:0.14.1-1
texinfo 7.0.3-1
texlive-bin 2023.66539-1
texlive-core 2023.66587-1
texlive-fontsextra 2023.66328-1
texlive-latexextra 2023.66551-1
tfsec v0.63.1.r380.gfbca9334c-1
tftp-bruteforce 0.1-10
tftp-fuzz 1:1337-4
tftp-proxy 0.1-3
tgcd 1.1.1-1
thc-ipv6 3.8-2
thc-keyfinder 1.0-2
thc-pptp-bruter 0.1.4-7
thc-smartbrute 1.0-3
thc-ssl-dos 1.4-11
thcrut 1.2.5-1
thedorkbox 7.43852d3-2
thefuzz 160.b4c2c80-1
theharvester 3191.d2b4ed1-1
themole 0.3-6
thin-provisioning-tools 1.0.3-1
threatspec 0.5.0-2
thrift 0.18.1-1
thumbcacheviewer 1.0.3.7-1
tidos-framework v2.0.beta2.r22.g4098187-2
tidy 5.8.0-2
tiger 3.2.3-8
tigervnc 1.13.1-1
tilt 90.2bc2ef2-4
timegen 0.4-2
timeverter 83.24b715e-1
tinc 1.0.36-3
tinfoleak 3.6469eb3-3
tinfoleak2 41.c45c33e-6
tinyproxy 1.11.1-2
tinyxml2 9.0.0-1
tk 8.6.13-1
tls-attacker 1:6653.742394f9b-1
tls-fingerprinting 257.4b6e878-1
tls-map v2.1.0.r54.g13b6ecf-1
tls-prober 286.72b1029-1
tlsenum 78.787c88b-3
tlsfuzzer 1412.0e48d57-1
tlspretense 1:v0.6.2.r22.g0a5faf4-6
tlsx v1.0.6.r3.g55ee7ec-1
tmux 3.3_a-3
tnscmd 1.3-7
toilet 0.3-1
token-hunter 343.3358a33-1
token-reverser 10.cbb4528-1
tomcatwardeployer 98.4535e64-1
topera 19.3e230fd-4
tor 0.4.7.13-2
tor-autocircuit 0.2-8
tor-browser 12.0.4-1
tor-router 4.001a510-1
torcrawl 81.3241834-2
torctl 1:0.5.7-1
torpy 60.ebf000c-2
torshammer 1.0-5
torsocks 2.4.0-1
tpcat latest-7
tplmap 719.616b0e5-1
tpm2-tss 3.2.0-3
traceroute 2.1.2-1
tracker3 3.5.0-1
trape 132.6baae24-3
traxss 81.48dee2e-3
tre 0.8.0-6
treasure 1:2.b3249be-1
tree 2.1.0-1
tree-sitter 0.20.8-1
trevorspray 111.70aca7b-1
trid 2.24-6
trid-defs 2022.20.29-1
trinity 5188.ca07c86b-1
triton 1:4080.c344d782-1
trivy 0.38.3-1
trixd00r 0.0.1-5
truegaze 117.c3f26bc-3
truehunter 14.0a2895d-1
trufflehog 213.e9ac138-1
trusttrees 102.a9b7399-4
tsh 0.6-5
tsh-sctp 2.850a2da-3
tslib 1.22-1
ttf-indic-otf 0.2-11
ttf-liberation 2.1.5-1
ttpassgen 133.a06d99d-3
tunna 41.cba006d-1
turner 29.f57ebb9-1
tweets-analyzer 55.8d6bd3c-1
tweetshell 21.47a415c-1
twine 4.0.2-3
twint 1:845.e7c8a0c-3
twofi 2.0-12
typo3scan v1.1.1.r10.gfc00665-1
tyton 1:80.56494f3-1
tzdata 2023c-1
u3-pwn 2.0-7
u3-tool 0.3-6
uacme 271.dbbcc71-1
uatester 1.06-5
uberfile 14.4414c2a-2
ubertooth 2020.12.R1-2
ubiquiti-probing 5.c28f4c1-5
ubitack 0.3-2
uchardet 0.0.8-1
udis86 1.7.2-5
udisks2 2.9.4-1
udork 102.1a0aab0-1
udp-hunter 4.b95cce5-1
udp2raw 20230206.0-1
udpastcp 29.683b5e3-1
udptunnel 2:19-4
udsim 33.b379464-1
uefi-firmware-parser 181.dfb15b0-1
ufo-wardriving 4-7
ufonet 83.e5d4014-1
uglify-js 3.17.4-1
uhoh365 26.110277a-2
ultimate-facebook-scraper 236.5661bdc-1
umap 25.3ad8121-6
umit 1.0-7
unace 2.5-11
uncaptcha2 7.473f33d-4
uncover v1.0.2.r2.g4b929e0-1
unfurl 16.99ad735-2
unhide 20220611-2
unibrute 1.b3fb4b7-3
unicorn 2.0.1-1
unicorn-powershell 202.80a37eb-1
unicornscan 0.4.7-7
unifuzzer 5.3385a3b-3
uniofuzz 2:1337-5
uniscan 6.3-4
unix-privesc-check 1.4-6
unixodbc 2.3.11-1
unrar 1:6.2.6-1
unsecure 1.2-8
unstrip 13.05e00c2-6
untwister 119.a42b8f8-3
unzip 6.0-19
upnp-pentest-toolkit 1.1-4
upnpscan 0.4-4
upower 1.90.0-3
uppwn 9.f69dec4-4
uptux 33.85ccfd0-1
upx 4.0.2-1
urh 2.9.4-2
uriparser 0.9.7-1
urlcrazy 0.5-13
urldigger 02c-2
urlextractor 19.739864d-3
urlview 0.9-15
usb-canary 31.bb23552-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-2
usbrip 291.5093c84-1
usbutils 015-2
username-anarchy 54.d5e653f-5
usernamer 20.12983f8-1
userrecon 10.3b56891-1
userrecon-py 1:15.eebd422-3
usnjrnl2csv 29.1ecbddc-1
usnparser 4.1.5-2
uthash 2.3.0-1
util-linux 2.38.1-3
util-linux-libs 2.38.1-3
uw-loveimap 0.1-2
uw-offish 0.1-2
uw-udpscan 0.1-2
uw-zone 0.1-2
v3n0m 531.273470b-1
v4l-utils 1.24.1-1
vagrant 2.3.4-1
vais 17.5c35c3a-5
vala 0.56.5-1
valabind 1.8.0-3
valgrind 3.20.0-1
valhalla 87.c010a48-3
vane 1899.48f9ab5-9
vanguard 0.1-7
vault-scanner 299.0303cf4-3
vba2graph 29.fcf96ef-2
vbrute 1.11dda8b-4
vbscan 1:39.2b1ce48-3
vbsmin v1.1.0.r50.g2aa5c92-1
vcsmap 47.3889964-12
vega 1.0-9
veil 5:297.d8acd4c-1
veles 1:637.e65de5a-5
venom 135.2b84e68-2
veracrypt 1.25.9-4
verinice 1.19.1.r1.gf82b192a6-1
vfeed 3:81.fad17ae-1
vhostscan 338.4a3a1ee-3
vid.stab 1.1-3
videosnarf 0.63-6
vim 9.0.1420-1
vim-runtime 9.0.1420-1
vinetto 0.07beta-13
viper 2091.cd532ca-1
vipermonkey 1160.511ecd5-2
viproy-voipkit 1:82.52b27db-2
virtualbox 7.0.6-3
virtualbox-guest-utils 7.0.6-3
virtualbox-host-dkms 7.0.6-3
virustotal 4.9aea023-3
visql 49.3082e30-1
visualize-logs 118.d2e370e-4
vivisect 2:1705.d3b3d869-1
vlan 1.9-6
vlan-hopping 21.a37ba4e-3
vlany 255.9ef014a-1
vmaf 2.3.1-1
vmap 0.3-1
vnak 1:1.cf0fda7-6
vnc-bypauth 0.0.1-8
vncrack 1.21-4
voiper 0.07-7
voiphopper 2.04-7
voipong 2.0-4
volafox 143.5b42987-1
volatility-extra 92.d9fc072-2
volatility3 2.0.1-1
voltron 627.d9fef0b-2
volume_key 0.3.12-7
vpnc 1:0.5.3.r526.r213-1
vpnpivot 22.37bbde0-1
vsaudit 21.2cbc47b-8
vscan 10.da4e47e-5
vstt 0.5.3-1
vsvbp 6.241a7ab-5
vte-common 0.72.0-1
vte3 0.72.0-1
vulkan-headers 1:1.3.246-1
vulkan-icd-loader 1.3.245-1
vulmap 95.a167c47-2
vulnerabilities-spider 1.426e70f-5
vulnx 321.bcf451d-1
vuls 1106.e3c27e1-1
vulscan 2.0-4
w13scan 430.432b835-1
w3af 1.6.49-9
wafninja 25.379cd98-1
wafp 0.01_26c3-9
wafpass 48.c3ea1b9-3
wafw00f 840.28ec94a-1
waidps 16.ff8d270-4
waldo 29.ee4f960-4
wapiti 3.1.6.r1.g90a86e8-1
wascan 1:37.6926338-1
wavemon 0.9.4-1
waybackpack 91.58b3d0f-1
waybackurls 11.89da10c-1
wayland 1.21.0-2
wayland-protocols 1.31-1
wcc 83.8254480-1
wce 1.41beta-2
wcvs 1.1.0.r0.ga9ae886-1
web-soul 2-6
web2ldap 1.7.6-1
webacoo 0.2.3-11
webanalyze 108.6a48cd0-1
webborer 173.b323cf4-1
webenum 21.24b43b4-1
webexploitationtool 155.85bcf0e-2
webfixy 25.5d477b0-4
webhandler 348.1bd971e-1
webhunter 12.918b606-1
webkiller 36.7ad72d3-3
webkit2gtk 2.40.0-2
webpwn3r 38.3d75e76-1
webrute 3.3-7
webscarab 20120422.001828-9
websearch 4.cb7ef8e-1
webshag 1.10-8
webshells 46.e8e1a37-1
webslayer 5-6
websockify 925.a134655-1
webspa 0.8-4
websploit 4.0.4-5
webtech 1.3.1-1
webxploiter 56.c03fe6b-5
weebdns 14.c01c04f-3
weeman 91.53c2efa-1
weevely 883.0bae932-1
weirdaal 331.c14e36d-3
wepbuster 1.0_beta_0.7-6
wesng 279.1bb3794-1
wfuzz 1155.1b695ee-4
wget 1.21.3-1
whapa 361.248b6e8-1
whatbreach 42.dad6b9f-3
whatportis 54.59a1718-1
whatsmyname 2024.c71765a-1
whatwaf 392.b14e866-4
whatweb 4910.efee4d80-2
which 2.21-6
whichcdn 22.5fc6ddd-6
whispers 2.1.5.r22.gf19feb5-1
whitewidow 605.4f27bfe-12
whois 5.5.16-1
wi-feye 1.1-2
wifi-autopwner 36.faa4d01-1
wifi-honey 1.0-7
wifi-monitor 30.0657e48-1
wifi-pumpkin 2:v1.0.9R2.r0.g47d79c3-1
wifi-radar 2.0.s10-1
wifibroot 84.d0cd2cc-2
wifichannelmonitor 1.70-1
wificurse 0.3.9-5
wifijammer 96.9add021-1
wifiphisher 1:798.bc4a077-1
wifiscanmap 135.9adcd08-3
wifitap 2b16088-9
wifite 2:2.6.8-1
wig 574.d5ddd91-5
wikigen 8.348aa99-3
wildpwn 11.4623714-1
windapsearch 28.7724ec4-3
windivert 2.2.0-1
windows-binaries 20.7d272da-2
windows-exploit-suggester 41.776bd91-2
windows-prefetch-parser 88.bc1fa58-2
windows-privesc-check 181.9f304fd-5
windowsspyblocker 4.38.0-1
wine 8.5-1
wine-gecko 2.47.3-1
wine-mono 7.4.0-1
winetricks 20220411-1
winexe 1.00-5
winfo 2.0-5
winhex 20.4-1
winpwn 402.1c71a13-1
winregfs 153.7567c83-1
winrelay 2.0-1
wireless-ids 24.b132071-3
wireless-regdb 2023.02.13-1
wireless_tools 30.pre9-3
wireshark-cli 4.0.4-1
wireshark-qt 4.0.4-1
wirouter-keyrec 1.1.2-3
witchxtool 1.1-8
wkhtmltopdf 0.12.6-2
wlan2eth 1.3-5
wmat 3:0.1-6
wmd 30.32e249a-3
wmi-forensics 11.0ab08dc-3
wnmap 0.1-8
woff2 1.0.2-4
wol-e 2.0-5
wolpertinger 2.58ef8e2-1
wondershaper 48.98792b5-1
wordbrutepress 30.5165648-1
wordlistctl 0.9.3-1
wordlister 56.7457c21-1
wordpot 44.e96889b-2
wordpress-exploit-framework 907.e55ded4-6
wordpresscan 76.f810c1c-1
wpa-bruteforcer 4.d5f8586-3
wpa2-halfhandshake-crack 29.3f42124-1
wpa_supplicant 2:2.10-8
wpbf 7.11b6ac1-4
wpbrute-rpc 3.e7d8145-15
wpbullet 34.6185112-3
wpebackend-fdo 1.14.2-1
wpforce 88.b72ec64-1
wpintel 6.741c0c9-1
wpscan 1:3.8.22-3
wpseku 2:39.862fb2c-2
wpsik 8.8d3856b-3
wpsweep 1.0-1
wreckuests 75.69b6c27-4
ws-attacker 1.7-3
wscript 201.0410be2-1
wsfuzzer 1.9.5-9
wssip 75.56d0d2c-4
wsuspect-proxy 24.89f9375-4
wups 1.4-1
wuzz 229.66176b6-2
wvdial 1.61-8
wvstreams 4.6.1-20
wxhexeditor 722.c22ce20-3
wxwidgets-common 3.2.2.1-1
wxwidgets-gtk3 3.2.2.1-1
wyd 0.2-9
x-rsa 165.ec75d15-1
x-scan 3.3-5
x264 3:0.164.r3095.baee400-4
x265 3.5-3
x3270 2:4.1ga12-1
x64dbg 2023.03.04-1
x8 1:v4.1.0.r2.g6ee4532-1
xbitmaps 1.1.3-1
xcat 266.faaf8fe-3
xcavator 5.bd9e2d8-9
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xcname 11.9c475a1-4
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal-gtk 1.14.1-1
xdg-utils 1.1.3+25+g8ae0263-1
xdotool 3.20211022.1-1
xerosploit 38.e2c3c7b-1
xf86-input-libinput 1.2.1-1
xf86-input-synaptics 1.9.2-1
xf86-input-vmmouse 13.2.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:19.1.0.r15.g7a6a34af-1
xf86-video-dummy 0.4.0-1
xf86-video-fbdev 0.5.0-3
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xf86-video-nouveau 1.0.17-2
xf86-video-openchrome 0.6.0.r798.g0c75274-2
xf86-video-vesa 2.6.0-1
xf86-video-vmware 13.4.0-1
xf86-video-voodoo 1.2.6-1
xfce4-session 4.18.2-1
xfce4-terminal 1.0.4-1
xfconf 4.18.0-1
xfltreat 270.17d4ec8-1
xfsprogs 6.2.0-1
xkeyboard-config 2.38-1
xl2tpd 1.3.18-1
xmlrpc-bruteforcer 35.6023237-3
xmlsec 1.2.37-1
xmlstarlet 1.6.1-3
xorbruteforcer 0.1-3
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-1
xorg-server-common 21.1.8-1
xorg-server-xvfb 21.1.8-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.3-2
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xdm 1.1.14-1
xorg-xdpyinfo 1.3.3-4
xorg-xinit 1.4.2-1
xorg-xkbcomp 1.4.6-1
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorgproto 2022.2-1
xorsearch 1.11.4-1
xortool 0.99-4
xpire-crossdomain-scanner 1.0cb8d3b-3
xpl-search 42.d4dbc97-2
xplc 0.3.13-10
xplico 1:1.2.2-1
xprobe2 0.3-8
xray 91.ca50a32-1
xrdp 0.9.21.1-1
xrop 83.4af7452-1
xsel 1.2.0.20200527-2
xspear 1:144.57bb7b4-1
xspy 1.0c-6
xsrfprobe 523.ce04111-3
xss-freak 17.e361766-2
xsscon 45.ce91fd6-3
xsscrapy 153.4966255-2
xsser 2:1.8-5
xssless 45.8e7ebe1-2
xsspy 60.b10d336-1
xsss 0.40b-7
xssscan 1:17.7f1ea90-3
xsssniper 79.02b59af-2
xsstracer 5.f2ed21a-3
xsstrike 467.f292787-1
xssya 1:13.cd62817-1
xterm 379-1
xvidcore 1.3.7-2
xwaf 162.c6f6bb7-2
xxeinjector 55.604c39a-2
xxeserv 12.046c559-2
xxexploiter 103.c1f0f41-1
xxhash 0.8.1-4
xxxpwn 10.27a2d27-1
xxxpwn-smart 6.b11b95b-1
xz 5.4.2-1
yaaf 7.4d6273a-7
yaf 2.12.2-1
yajl 2.1.0-5
yaml-cpp 0.7.0-2
yara 4.2.3-2
yasat 848-1
yasca 2.1-3
yasuo 121.994dcb1-9
yate 6.4.0-3
yate-bts 6.1.0-1
yawast 1072.5e9e7a3-7
yay 11.3.2-1
ycrawler 0.1-6
yersinia 0.8.2-1
yeti 2483.753adfbf-1
yinjector 0.1-6
youtube-dl 2021.12.17-1
ysoserial 0.0.6-1
z3 4.12.1-1
zackattack 5.1f96c14-8
zaproxy 2.11.1-2
zarp 0.1.8-6
zdns 249.bfbfae2-1
zeek 14644.ebbed2aa0-1
zeek-aux 555.444a6fb-1
zelos 272.506554d-3
zenity 3.44.0-3
zeratool 46.cb70d53-1
zeromq 4.3.4-2
zerowine 0.0.2-8
zeus 111.97db152-3
zeus-scanner 414.21b8756-4
zgrab 804.59a517f-1
zgrab2 583.d5532ce-1
zimg 3.0.4-1
zip 3.0-10
zipdump 0.0.21-1
zipexec 19.f8d661f-1
zirikatu 7.afe1d9c-1
zizzania 124.8f2062f-1
zlib 1:1.2.13-2
zmap 2.1.1-9
zsh 5.9-3
zssh 1.5c-13
zstd 1.5.4-1
zsteg v0.2.13.r1.gc8d2508-1
zulu 0.1-4
zulucrypt 6.2.0-1
zykeys 0.1-4
zziplib 0.13.72-1
zzuf 0.15-3
